City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sur,0,OM,1650150605,40,22.5667,59.5289,86.05,5.66
Meulaboh,41,ID,1650150605,88,4.1363,96.1285,77.32,3.2
Bluff,90,NZ,1650150606,65,-46.6,168.3333,50.81,6.38
Burnie,100,AU,1650150606,90,-41.0667,145.9167,61.95,6.73
Kapaa,75,US,1650150606,83,22.0752,-159.319,82.38,24.16
Souillac,44,MU,1650150607,85,-20.5167,57.5167,76.48,13.8
Dikson,100,RU,1650150607,94,73.5069,80.5464,10.15,15.37
Batouri,70,CM,1650150607,76,4.4333,14.3667,73.54,2.98
Carnarvon,100,AU,1650150607,78,-24.8667,113.6333,73.47,13.8
Kachug,96,RU,1650150608,89,53.9606,105.8817,35.4,2.44
Mataura,73,NZ,1650150609,61,-46.1927,168.8643,50.49,4.56
Novobelokatay,91,RU,1650150609,83,55.7062,58.9549,30.27,3.53
Ushuaia,84,AR,1650150609,77,-54.8,-68.3,38.48,4.9
Qaanaaq,40,GL,1650150609,78,77.484,-69.3632,-15.54,6.04
Hobart,0,AU,1650150318,78,-42.8794,147.3294,63.27,5.75
Vaini,40,TO,1650150610,79,-21.2,-175.2,84.36,8.05
Aksu,15,CN,1650150610,18,41.1231,80.2644,51.91,7.36
Hualmay,99,PE,1650150610,80,-11.0964,-77.6139,67.84,12.41
Jamestown,20,US,1650150610,47,42.097,-79.2353,42.53,13.8
Tasiilaq,100,GL,1650150611,97,65.6145,-37.6368,35.76,12.5
Butaritari,26,KI,1650150611,77,3.0707,172.7902,81.59,13.15
Geraldton,90,AU,1650150480,77,-28.7667,114.6,66.61,16.11
Punta Arenas,40,CL,1650150611,81,-53.15,-70.9167,46.51,10.36
Churapcha,99,RU,1650150611,91,62.0025,132.4325,21.85,1.7
Barrow,0,US,1650150612,78,71.2906,-156.7887,6.82,19.57
Pomabamba,65,PE,1650150612,58,-8.8333,-77.4667,57.58,3.09
Honiara,99,SB,1650150612,76,-9.4333,159.95,82.67,3.8
Port Alfred,100,ZA,1650150613,89,-33.5906,26.891,61.18,10.74
Beled,25,HU,1650150613,58,47.4659,17.0929,43.99,15.1
Norman Wells,86,CA,1650150613,68,65.282,-126.8329,17.19,3.31
Carthage,40,TN,1650150613,77,36.8611,10.3316,58.53,9.22
Rikitea,7,PF,1650150613,70,-23.1203,-134.9692,78.49,13.67
New Norfolk,100,AU,1650150614,70,-42.7826,147.0587,62.92,3.58
Dingle,50,PH,1650150614,86,10.9995,122.6711,78.28,5.46
Albany,100,US,1650150615,90,42.6001,-73.9662,39.56,2.3
Pevek,100,RU,1650150615,91,69.7008,170.3133,7.5,6.22
Hithadhoo,65,MV,1650150616,66,-0.6,73.0833,82.9,6.71
Waingapu,72,ID,1650150616,84,-9.6567,120.2641,80.94,6.17
Saint-Philippe,53,RE,1650150616,78,-21.3585,55.7679,74.79,10.04
Port Elizabeth,98,ZA,1650150616,85,-33.918,25.5701,62.31,13.0
Ko Samui,91,TH,1650150617,78,9.5357,99.9357,83.23,7.92
Tuktoyaktuk,35,CA,1650150617,79,69.4541,-133.0374,5.7,5.12
Coquimbo,75,CL,1650150618,94,-29.9533,-71.3436,56.93,8.05
Morondava,36,MG,1650150618,86,-20.2833,44.2833,80.91,4.47
Goragorskiy,4,RU,1650150618,78,43.5031,45.0792,44.64,4.12
Puerto Ayora,75,EC,1650150618,82,-0.7393,-90.3518,77.63,8.41
Bairnsdale,48,AU,1650150581,59,-37.8333,147.6167,65.44,4.61
Tooele,75,US,1650150619,66,40.5308,-112.2983,52.45,6.91
Busselton,21,AU,1650150619,72,-33.65,115.3333,56.93,8.86
Saint Paul Harbor,100,US,1650150620,75,57.79,-152.4072,40.51,14.97
Rustenburg,99,ZA,1650150620,87,-25.6676,27.2421,58.41,8.03
Castro,0,BR,1650150620,87,-24.7911,-50.0119,53.4,3.13
Yellowknife,79,CA,1650150620,47,62.456,-114.3525,14.56,8.99
Codrington,100,AU,1650150621,38,-38.2667,141.9667,71.28,22.1
